Ltext,Ctext,Rtext,Lcorr,Rcorr
289,415,637,1,0
346,582,794,0,1
178,439,651,0,1
423,567,812,1,0
317,504,729,1,0
205,476,683,0,1
492,618,735,0,1
154,387,629,1,0
518,643,870,1,0
372,695,721,0,1
438,476,809,1,0
267,429,658,1,0
583,694,800,0,1
195,462,704,0,1
401,539,768,1,0
314,527,846,1,0
479,612,698,0,1
256,483,715,1,0
508,679,803,0,1
362,591,827,1,0
